               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.012994,           0.0046614,           0.0018969,             0.97442,             0.95529,             0.97288,             0.76382,            0.017504,           0.0062001,           0.0022596,            6.82e-05,            6.82e-05,            6.82e-05
                 108,            0.012975,           0.0045418,           0.0017423,             0.97598,             0.95456,              0.9723,             0.76328,            0.017508,           0.0062116,           0.0022212,            6.79e-05,            6.79e-05,            6.79e-05
                 109,            0.012663,           0.0043531,           0.0015555,             0.97359,             0.95263,             0.97226,             0.76247,              0.0175,           0.0062201,           0.0023203,            6.76e-05,            6.76e-05,            6.76e-05
                 110,            0.012432,            0.004539,           0.0014913,             0.97499,             0.95426,             0.97187,             0.76277,            0.017518,           0.0062313,           0.0023469,            6.73e-05,            6.73e-05,            6.73e-05
                 111,            0.012701,           0.0043728,           0.0014631,              0.9746,             0.95479,             0.97184,             0.76267,            0.017525,           0.0062433,           0.0024158,             6.7e-05,             6.7e-05,             6.7e-05
                 112,             0.01236,            0.004414,           0.0014081,             0.97463,              0.9561,               0.972,             0.76326,            0.017531,           0.0062583,           0.0023112,            6.67e-05,            6.67e-05,            6.67e-05
                 113,            0.012676,           0.0044253,           0.0016252,             0.97532,             0.95572,             0.97225,             0.76325,             0.01752,           0.0062669,           0.0023029,            6.64e-05,            6.64e-05,            6.64e-05
                 114,            0.012285,           0.0042571,           0.0013371,             0.97312,             0.95621,             0.97231,             0.76242,            0.017521,           0.0062826,           0.0022924,            6.61e-05,            6.61e-05,            6.61e-05
                 115,            0.012166,           0.0044561,           0.0013664,             0.97454,             0.95723,             0.97534,             0.76273,            0.017506,           0.0062836,           0.0023018,            6.58e-05,            6.58e-05,            6.58e-05
                 116,            0.012262,           0.0044059,           0.0011857,             0.97588,             0.95498,             0.97565,             0.76221,            0.017522,           0.0062936,            0.002299,            6.55e-05,            6.55e-05,            6.55e-05
                 117,            0.012606,           0.0045338,           0.0013561,              0.9746,             0.95613,             0.97575,             0.76235,            0.017528,           0.0062964,           0.0022653,            6.52e-05,            6.52e-05,            6.52e-05
                 118,            0.012178,           0.0043007,            0.001765,             0.97387,              0.9568,             0.97575,             0.76329,            0.017532,           0.0063006,            0.002235,            6.49e-05,            6.49e-05,            6.49e-05
                 119,            0.012083,           0.0043505,           0.0014166,             0.97441,             0.95735,              0.9756,             0.76234,             0.01754,           0.0063086,           0.0022439,            6.46e-05,            6.46e-05,            6.46e-05
                 120,            0.012402,           0.0043018,           0.0010617,             0.97427,             0.95767,             0.97572,              0.7627,             0.01753,           0.0063197,           0.0022395,            6.43e-05,            6.43e-05,            6.43e-05
                 121,            0.012395,           0.0045848,           0.0014814,             0.97395,               0.958,             0.97585,             0.76221,            0.017535,            0.006334,           0.0022536,             6.4e-05,             6.4e-05,             6.4e-05
                 122,            0.012032,           0.0043816,           0.0014327,             0.97386,             0.95926,             0.97647,              0.7618,            0.017552,           0.0063416,           0.0022573,            6.37e-05,            6.37e-05,            6.37e-05
                 123,            0.012076,           0.0045474,           0.0015784,             0.97312,             0.96051,             0.97662,             0.76193,            0.017553,           0.0063519,           0.0021964,            6.34e-05,            6.34e-05,            6.34e-05
                 124,            0.012138,           0.0044215,           0.0014483,             0.97363,             0.95906,             0.97635,             0.76204,            0.017554,           0.0063598,           0.0021858,            6.31e-05,            6.31e-05,            6.31e-05
                 125,            0.011859,           0.0042241,           0.0011763,             0.97473,             0.95734,             0.97626,             0.76218,            0.017561,           0.0063736,           0.0022023,            6.28e-05,            6.28e-05,            6.28e-05
                 126,            0.011637,           0.0040935,            0.001356,             0.97245,             0.95944,             0.97619,             0.76177,            0.017559,            0.006381,           0.0021773,            6.25e-05,            6.25e-05,            6.25e-05
                 127,            0.012101,           0.0045221,            0.001501,             0.97237,             0.96099,             0.97615,             0.76052,            0.017562,           0.0063913,           0.0021509,            6.22e-05,            6.22e-05,            6.22e-05
                 128,            0.011803,           0.0041273,           0.0014273,             0.97153,             0.96198,             0.97631,             0.76157,            0.017561,            0.006399,           0.0021514,            6.19e-05,            6.19e-05,            6.19e-05
                 129,            0.012219,           0.0046263,           0.0014691,             0.97371,             0.96037,             0.97653,             0.76167,            0.017572,            0.006411,           0.0021248,            6.16e-05,            6.16e-05,            6.16e-05
                 130,            0.012186,           0.0046043,           0.0014343,             0.97436,             0.96013,             0.97665,             0.76059,            0.017577,           0.0064197,           0.0020659,            6.13e-05,            6.13e-05,            6.13e-05
